name,date,likes,comment,sentiment,source
_x_.moumen._x_,05/03/20 17:52:37,0,N9dr nsst3mlha fi téléphone,0,insta
tamer_ga_of,05/03/20 21:20:37,0,نشاله تكون انترنت خفيف الليل نشريها,-1,insta
__a__d__e__x__,06/03/20 14:05:33,1,Yaww cnxx  غاضب,-1,insta
soumi_emi,07/03/20 13:38:12,0,كونيكسيو تعيي _,-1,insta
ou.0ssama0.uo,07/03/20 23:09:43,0,L3orod ghi hiya w ntouma L 4G ma 3ndkomch ya zuuh sagmo réseau ta3kom mnb3d diro L 3orod ta3 khra,-1,insta
mah_mourad,08/03/20 15:26:43,0,هي4G,0,insta
belladinag,11/03/20 15:43:22,0,Ya djezzy غاضب  غاضب  activit ta3 1200 da 30g et 1500da fi 2 jours klitouli 16g  غاضب  غاضب  c pas normal 16 tchadli 1 mois  غاضب  غاضب,-1,insta
djezzy.dz,24/02/20 18:01:13,2360,We are the new generation we are connected  مزيان  غمزة Join us wykoun 3endek 5Go  عاشق  zyada b300DA,1,insta
benkacemdjamel,24/02/20 18:02:56,0,9,0,insta
lotfi.bouheroud,24/02/20 18:05:40,0,ما يعجبش  ما يعجبش,-1,insta
timou_dz,24/02/20 18:06:11,0,Bonne continuation,1,insta
t.ra_wa,24/02/20 18:07:13,0,ما يعجبش  ما يعجبش  kol 5a6ra tzido t5rboha,-1,insta
aymen.mch2001,24/02/20 18:07:22,0,Ma mafhamtch bla39l bark 🇩🇿,0,insta
sy_samy,24/02/20 18:07:23,2,Si je comprends bien 800da andi 10go,0,insta
djezzy.dz,24/02/20 18:09:49,1,ouii عاشق,1,insta
sy_samy,24/02/20 18:11:37,0,حب ️ حب ️ حب ️,1,insta
akramziama,24/02/20 18:16:58,1,نار  نار,1,insta
yasminebmi,24/02/20 18:18:36,0,حب   حب,1,insta
youcef_amigo_free,24/02/20 18:21:43,0,مديروش 500دج 500دج 5جيغه انترنات فيسبوك انستغرام باطل,0,insta
samyxlrb,24/02/20 18:22:37,0,Kon gir chftoli blasa m3a new generation  عاشق  عادي,1,insta
b_onnie_i,24/02/20 18:23:56,0,Pendant semaine  يفكر,0,insta
aymen_baaziz_,24/02/20 18:27:08,1,800 da 10 go internet ou credit chhal,0,insta
djawed.mitala,24/02/20 18:29:44,2,Ta3 800da → 200da crédit +15go Internet walah la kanet msa3dtna ghaya rodoha,0,insta
negetharrar,24/02/20 18:29:54,0,تصفيق  تصفيق,1,insta
ferdjallahhamza,24/02/20 18:31:36,0,يضحك بزاف  يضحك بزاف  حزين  عاشق,1,insta
narimane.nour88,24/02/20 18:31:54,4,علاه متديروش جيزي باطل 5 جيقا انترنت,0,insta
fouad1712,24/02/20 18:38:30,2,حسنو التغطيه ومبعدا ديرو العروض  ما يعجبش  ما يعجبش,-1,insta
manal_iram,24/02/20 18:46:11,0,لكود نديروه؟,0,insta
lo.uz,24/02/20 18:50:32,0,Andi 600 b 12g,1,insta
the_king.fe,24/02/20 18:58:34,0,wsh mn ma puce khoya yarham waldik,0,insta
lo.uz,24/02/20 19:00:20,0,hayla maxi,1,insta
the_king.fe,24/02/20 19:03:44,0,kifach ndir bach nachriha,1,insta
na_cer__ar,24/02/20 19:18:08,0,mala tahecholna diro 300 da 5go wahedha bla 500 da hadik,-1,insta
una_efe,24/02/20 19:19:43,0,Nzid 200 Da 3and ooredoo ya3toni 20 Go  غمزة,-1,insta
noureddine.draou,24/02/20 19:21:43,0,Lazem nv puce wla ghir n activiw had labonement brk,0,insta
sy_samy,24/02/20 19:24:53,1,il t’ont pas obligé a le faire,0,insta
na_cer__ar,24/02/20 19:32:37,0,saqssitehom homa machi nta,0,insta
sy_samy,24/02/20 19:33:33,3,rek fel commentaire taei,0,insta
hichem_rhm,24/02/20 19:38:37,0,SVP makanch offre mafihch djezzy batel,0,insta
houssam_fln,24/02/20 19:48:25,0,يضحك بزاف  يضحك بزاف,0,insta
zaydill_,24/02/20 19:49:50,0,Dert hadik ta3 5G 5jr khlaso  يبكي,-1,insta
lo.uz,24/02/20 19:50:47,0,sa9si elihah sahbi wla dir 720 o chof ask ya9lbohalk,1,insta
madrid.bakhti,24/02/20 19:59:05,0,انترنت ضعيفه جدا  يضحك بزاف  يضحك بزاف,-1,insta
sy_samy,24/02/20 20:03:20,0,gold,0,insta
una_efe,24/02/20 20:05:28,0,wah,1,insta
mayaavinn,24/02/20 20:10:43,0,not enough 10 gb nowdays is nothing,-1,insta
djidji_bess,24/02/20 20:16:37,0,Qsq je doit faire pour avoir cette option,0,insta
justblako_dz,24/02/20 20:23:25,0,How to activate this offer,0,insta
khairdine__miner,24/02/20 20:45:12,0,chaho lkode li diro,0,insta
khairdine__miner,24/02/20 20:45:47,1,ih dik kant bien bzaff,1,insta
khairdine__miner,24/02/20 20:46:33,0,حب كبير ️,1,insta
zaydill_,24/02/20 20:46:51,0,720,0,insta
sdmoh31,24/02/20 20:49:59,0,Mais cnx prk t9ila,-1,insta
hazal_hazal_dz,24/02/20 20:53:09,0,Mt9drch thder batel 30j psq ana dirtha fi 4j khlast wlit mn9drch nhder mais cnx kayna dork hiya ta3 cnx w mich t3 hdra yek wla kifav,0,insta
sofian8n,24/02/20 21:16:17,0,راكم تخرطو لعوض تنقصو لبري,-1,insta
iam.mourad,24/02/20 21:43:59,0,Estce que loffre imtiyaz est disponible dans cette puce,0,insta
amy_lema,24/02/20 22:15:44,0,ma3lich tgolili 3la had loption,0,insta
bendahouayacine,24/02/20 22:16:02,1,800 da = 10 G alor apres 30 jr Ki zaama,0,insta
una_efe,24/02/20 22:29:15,0,hadi fi ooredoo la gold tkhali 100 Da ya3tok 20 Go w had loffre ta3 djezzy 800 da ya3tok 10 Go,0,insta
djezzy.dz,24/02/20 22:29:39,3,pendant un mois  مرتاح,1,insta
djezzy.dz,24/02/20 22:30:02,1,la prochaine fois ndiroulek plaça  يضحك بزاف,1,insta
amy_lema,24/02/20 22:30:21,1,mercii حب ️,1,insta
djezzy.dz,24/02/20 22:30:34,1,500da vers tous les réseaux,1,insta
djezzy.dz,24/02/20 22:31:09,2,oui cest valable 30 jours  مرتاح,0,insta
bendahouayacine,24/02/20 22:37:10,0,mora 30 jr ki nwalo nflixo 800 da,0,insta
samimou_29,24/02/20 22:41:13,0,يضحك بزاف,0,insta
wassim.mdd,24/02/20 22:44:48,0,Lala matahchilich,-1,insta
kymo_dz,24/02/20 22:45:41,0,Mauvaise affaire  ذكي,-1,insta
souad_otm,24/02/20 22:53:10,0,يضحك بزاف  يضحك بزاف فرغي قلبك  ضحك   ضحك,0,insta
smaildusseldorf,24/02/20 22:55:20,1,سڨمو ريزو ساهل  مريقلة,-1,insta
yo.__________.yoo,24/02/20 23:05:48,0,5 deux jours ykhlsso,-1,insta
bassmanosa7608,25/02/20 00:52:57,0,كلي 5 جيقا بزاف ممليحش  تكمل يومين,-1,insta
good_g_irl,25/02/20 06:03:38,0,سما نكونيكتو 5جيڨا شهر تبقا 5 هكا؟؟,0,insta
gtd.youcef,25/02/20 07:44:23,0,nchallah b rabi rak fahem يضحك بزاف,0,insta
dr_abdessalem,25/02/20 07:55:02,0,براز  براز,-1,insta
bushra.mbel,25/02/20 08:34:49,0,W hedi ta3 500da whdha esq djeezy illimité 1 mois,0,insta
maz_dz_21,25/02/20 09:29:30,1,عندو صحبتو عندها موبيليس اوريدو 500 تاعكم تروح نص ساعه شهر نحكو هه,0,insta
para_maithe,25/02/20 10:40:30,0,Svp abonné la page Pretty princess8814,0,insta
mohamed_bizaaaaaar,25/02/20 10:57:33,0,بهدلندتونا جيوي بهذا العرض,-1,insta
houcine_mine,25/02/20 13:24:44,0,H bal c mieux,0,insta
overlord6995,25/02/20 14:41:28,0,كونيكسيو تاعكم تروح علي 21:00 وراكم تتمنيكو نيك زبي,-1,insta
ninacho_96,25/02/20 19:22:36,0,c pour quand le lancement,0,insta
tino92i,25/02/20 22:05:49,0,Rani hab nhabes labonnement teb9ali la puce nrml yek,0,insta
medali10,25/02/20 22:06:48,0,500 da wela 300 da kif kif rani dayer special 200 da mois jamais consomit forfait internet indoor ta3kom zero,0,insta
moha_medtig1399,25/02/20 22:26:40,0,Waaw ces bien,1,insta
_moh_turky_,25/02/20 22:57:14,0,دعاء  nchalh lconixou عالم  tkon kfifa,0,insta
koki_benz,25/02/20 23:13:49,2,cette puce na aucun sens Je préfère l’offre imtiyaz avec 600=12gb+ilimité djezzy+1500damois,-1,insta
walid_yesso,26/02/20 12:02:42,0,Rakom ghi Tachéklo 3linà  يتمسخر  محرج,-1,insta
khadouj_dodda,26/02/20 13:21:19,0,Vive oredoo 100da 20go 400da hadrra l tous les rèseaux hadrra illimité mn oredoo l eredoo  مريقلة 🏻,-1,insta
aliaa_sama,27/02/20 16:16:07,0,Ch7al la puce svp je veut dire ki tachriha,0,insta
sohaibboufedji.1412,28/02/20 20:25:01,0,ميش افار ادي حكايتك نفليكسي لوريدو بمءه عشرين جيغا ربعميه الف هدره بخير,-1,insta
khalil.keros,29/02/20 03:22:03,0,Kifh hedi wlh la fehmt,0,insta
mls_wahiba,03/03/20 13:33:33,0,ولله اني نفلكسي1500يعطيني 5 جيغا كانت 40جيغا رجعوهالي5جيغا,-1,insta
katia__da,11/03/20 15:23:34,0,+ felxy net Qui veux dire,0,insta
djezzy.dz,09/03/20 13:36:06,1126,DJEZZY APP تقدر دير بزاف حوايج  عاشق  تحملها  تليفون  عيون  قولولنا فالتعليقات عرض شريتوه بالتطبيق,0,insta
smail_habchi,09/03/20 13:38:21,4,زيدو مدونا انترنت باطل يسجل,0,insta
_mouh_rouh_,09/03/20 13:42:06,0,مدولنا,0,insta
_mouh_rouh_,09/03/20 13:42:24,0,مدولنا 1g يسجل بيها تعيشوا,0,insta
_mouh_rouh_,09/03/20 13:42:42,0,حب ️ حب ️ حب ️,1,insta
amelgouicemder1,09/03/20 13:43:21,1,Publication hayela,1,insta
bilel_sam_,09/03/20 13:43:54,3,عدلو الريزو الانترنت ساهل نخلصو الفاتورات باطل,-1,insta
mido_ralph_lauren,09/03/20 13:44:13,0,Dok hadi app Nass yahdro 3liha  ماقنعش  ماقنعش,-1,insta
yazanlavigne,09/03/20 13:46:59,0,true we could definitely use some of that,0,insta
mayaavinn,09/03/20 13:47:29,0,nchlh diro section surprise sur izzy,0,insta
raniaaa__km,09/03/20 13:48:02,0,ريزو 0 الانترنت تقيله بزاف  ذكي  مافهمتش,-1,insta
saadihallou,09/03/20 14:12:37,2,وجهكم صحيح  فوق الراس  انترنت زبل تغطيه زبل نزيدو تديرو ابليكاسيو نطلعوها اذا 10 ميغا لازملي ساعه تكمل بالريزو تاعكم,-1,insta
aymenpatou,09/03/20 14:14:18,0,سمعت بلي راكم خارجين الجزاءر علاببها راكم تزكرو فينا كونيكسو ريزو وحنا سبتنا,-1,insta
marshmill0,09/03/20 14:18:21,1,تصفيق  نار  نار  20da +1gb,1,insta
midi30,09/03/20 14:40:15,0,شاء الله  غمزة  يوافق,1,insta
tatifo_dz__19,09/03/20 14:42:58,2,Izzy baynaa عاشق,1,insta
djezzy.dz,09/03/20 19:39:07,1,قوة  قوة,1,insta
mohaaissani,09/03/20 15:06:22,0,فليكسي بواسطه البطاقه الذهبيه,0,insta
walid_wadll,09/03/20 15:44:12,0,Wow  يضحك بزاف  يضحك بزاف,1,insta
eenima,09/03/20 17:24:45,1,جازي الاسوء النواحي,-1,insta
chachahadjora,09/03/20 17:34:07,0,ايه ايبعتونا رنتي,0,insta
anis_bouguerra_ab,09/03/20 17:41:06,0,نستناو تفهموا رواحكم بلي 4G تاعكم راهي كيشغل راهي 1G,-1,insta
larbou_0,09/03/20 19:02:37,0,Where is the dark mode  يفتش,1,insta
nino__malaga,09/03/20 19:05:49,1,تطبيق الله يبارك عجبني بزااف وزيد تنزلو 1G انترنيت باطل صالحه لمده اسبوع  عاشق  عاشق  يتمسخر,1,insta
its_sidahmed,10/03/20 20:03:54,0,قلب مكسور  ماقنعش,0,insta
aliloumoumene,09/03/20 19:07:01,0,Et après ça une connexion merdique,-1,insta
chah______ra,09/03/20 19:19:38,1,Mliha had lapplication bzaaf tsahel  حب ️,1,insta
djezzy.dz,09/03/20 19:41:10,1,Merci pour votre fidélité  يضحك,1,insta
linda_ayten,09/03/20 20:48:19,0,عجبتني 1Go باطل,1,insta
_rifka.bjm_,09/03/20 22:07:28,0,نار  حب ️,1,insta
habibmeradji_official,10/03/20 8:10:55,0,Continuer bonne courage  حب ️,1,insta
islamahdouga,10/03/20 9:51:56,0,اسوء شبكه ناحيه تدفق الانترنت قلب العاصمه 2G ضحك,-1,insta
ameramraoui,10/03/20 13:05:12,0,اضعف شبكه واضعف عروض واضعف تغطيه علي مستوي العالم,-1,insta
djami_sing,10/03/20 21:03:40,0,شعال دير؟,0,insta
rami__skandar,10/03/20 22:22:00,0,ترجعولي لوفر 60 الف ربي يسهل  يضحك بزاف  يضحك بزاف,0,insta
_rima._.ben_,10/03/20 23:37:18,0,عروض والريزو مهوش كامل لبلايص,-1,insta
karim_belalem,10/03/20 23:55:09,0,نار  نار,1,insta
raouf9607,12/03/20 6:24:09,0,هدا راح نسييها مي فوور بزاف عحبتني والانترنات نتعها طياره ماعندي مانخير شكرا جازي,1,insta
sief__eddin_,12/03/20 19:38:28,0,حب ️,1,insta
soufiane_mignon,13/03/20 02:19:48,0,Basah wach tbadel fiha mazal kolach kima rah يفكر  يفكر,-1,insta
djezzy.dz,02/03/20 12:59:46,1634,You want some more  يضحك B’300da 3endek 500da crédit zyada  اتصل بيا  عاشق Enjoy  غمزة,0,insta
bishette_,02/03/20 13:01:17,1,Lah lah 9elechtouna yeah مريقلة,1,insta
maa_dara,02/03/20 13:41:03,1,بقداه شراوك  ماقنعش,0,insta
djezzy.dz,02/03/20 14:11:03,2,bishette lem9elcha te3 izzy  مزيان,1,insta
mayaavinn,02/03/20 13:02:23,0,bravo  مريقلة  مريقلة  continue like that  قوة  قوة,1,insta
callme_sch,02/03/20 13:04:33,0,B300da machi aendna 5go zyada wela doka ki nzid 300da tzid 5go et 500da credit,0,insta
djezzy.dz,02/03/20 18:04:51,0,khiyer wekhtar Wila habit les 2 test9amlek 600da,0,insta
kataloni400,02/03/20 13:04:50,1,Win nal9aha,0,insta
djezzy.dz,02/03/20 18:02:20,0,fi Kamel les points de vente dialna  مرتاح,0,insta
samo_oussama,02/03/20 13:04:56,0,حفلة  حفلة,1,insta
ibrahimderbal,02/03/20 13:14:37,2,Khas nchri puce jdida,0,insta
abdeloualim,02/03/20 13:19:30,0,عاشق,1,insta
maa_dara,02/03/20 13:24:50,1,اولدي عرض تافه نحيو 50 الف لوله مشي خير ؟ يخير يحتاج غمزة,-1,insta
ziadb25,02/03/20 13:28:42,1,Votre est aussi merdique que votre réseauOn veut internet illimité pas 5gb,-1,insta
ri_ad.kr,02/03/20 13:32:02,2,hbit ns9sik lokn nflixi 300 da n9dr nactivi hdra batel wla lazem nflixi 500 bch n9dr ndir ta3 300 da,0,insta
maa_dara,02/03/20 13:40:21,0,تاكتيفي 50 باه تقدر تاكتيفي لخرين عليها عرض فاشل  ما يعجبش,-1,insta
ri_ad.kr,02/03/20 13:47:09,2,hfdk khoya,0,insta
nani_beg,02/03/20 13:51:15,1,ما يعجبش  ما يعجبش,-1,insta
maa_dara,02/03/20 13:40:21,0,تاكتيفي 50 باه تقدر تاكتيفي لخرين عليها عرض فاشل  ما يعجبش,-1,insta
maa_dara,02/03/20 13:41:03,1,بقداه شراوك  ماقنعش,0,insta
ri_ad.kr,02/03/20 13:47:09,2,hfdk khoya,0,insta
nani_beg,02/03/20 13:51:15,1,ما يعجبش  ما يعجبش,-1,insta
djezzy.dz,02/03/20 14:11:03,2,bishette lem9elcha te3 izzy  مزيان,1,insta
hees_na,02/03/20 14:55:38,0,Bon fhmoni ida tchriha b 600 w fiha 5G,0,insta
hees_na,02/03/20 14:55:53,0,Wela tchriha b 300 w tflixilha,0,insta
hees_na,07/03/20 16:51:29,0,dcr mrc,0,insta
hees_na,07/03/20 16:52:07,0,apres chaque mois tflixi 500da bla mtchri puss jdida,0,insta
a._89s,07/03/20 18:36:27,0,pass prv,0,insta
htaminoe,02/03/20 16:48:44,1,Mzlt kyna,0,insta
new_me_ouassim,02/03/20 17:26:34,0,فرحان   فرحان   la veste  مانطو  t7lbnalh,0,insta
djezzy.dz,02/03/20 18:02:20,0,fi Kamel les points de vente dialna  مرتاح,0,insta
djezzy.dz,02/03/20 18:04:51,0,khiyer wekhtar Wila habit les 2 test9amlek 600da,0,insta
djidji_bess,02/03/20 19:31:28,0,Explain to me how to do this,0,insta
itsaminedahas,02/03/20 22:18:05,1,الكنوكسيون راهي ثقيله علي سيري سلطان قورصو ديرولها حال يرحم باباكم  مافهمتش,-1,insta
kymo_dz,03/03/20 9:16:42,0,Negatif,-1,insta
x_x_samy_x_,04/03/20 11:18:44,0,Mi Chehal Tahkeem La Pus,0,insta
x_x_samy_x_,04/03/20 11:19:20,0,1ans b offer Hada,0,insta
a._89s,07/03/20 16:45:16,1,tchriha b 300 w bach tjik 5g w 500da crédit il faut tzid 500da ça fait 800da bin kolchi,-1,insta
hees_na,07/03/20 16:51:29,0,dcr mrc,0,insta
hees_na,07/03/20 16:52:07,0,apres chaque mois tflixi 500da bla mtchri puss jdida,0,insta
a._89s,07/03/20 18:36:27,0,pass prv,0,insta
hadef_mohamed_ayoub,10/03/20 20:15:09,0,Rahi disponible f tlemcen,0,insta
nesrin_4th,13/03/20 12:04:53,0,Insta ta3 2 ème photo svpl,0,insta
_.marouaaa,13/03/20 13:39:22,0,C quoi flexy net gratuit,0,insta
djezzy.dz,10/02/20 19:32:50,2293,You made your choice  تصفيق Zid 600DA 3endek YouTube  فيلم  illimité  نار pendant un mois  عاشق Because is unlimited  مريقلة,0,insta
negetharrar,10/02/20 19:33:22,2,تصفيق  تصفيق,1,insta
roumibrik,10/02/20 19:34:34,0,حب ️ حب ️ حب ️ حب ️ حب ️,1,insta
ma_boukh,10/02/20 19:35:33,6,Yaw ntoma rayhin tkhrjoha fi 200 alf hh tasm3 ghir zid zid,-1,insta
faresxyah,10/02/20 19:35:58,2,BOOM  قوة 🏻,1,insta
iheb_crg,10/02/20 19:37:12,3,Youtube illimité + 5G cnx wla bla biha,1,insta
youcef_amigo_free,10/02/20 19:41:12,6,مدروش با 600دج Facebook Instagram wattsap,0,insta
abdennour_abi,10/02/20 19:43:08,1,Tzid 500 + 100 = 600 Da wla 500 + 600 =1100 Da,-1,insta
_dii.daa_,10/02/20 19:43:25,0,Et pour linsta Svp est ce que ki nzidou 600da nkhyrou bin insta wla youtube illimité wla les deux à la fois,0,insta
wail_medbouh_7,10/02/20 19:43:56,2,نريد الشحن بالرصيد,0,insta
otto_x9,10/02/20 19:45:08,0,L buz rak fahme  يضحك بزاف,-1,insta
alaaa.2008,10/02/20 19:47:25,2,Hadra batel avec djezzy khirmeen youtuube,-1,insta
mohamed.senouci,10/02/20 19:49:20,2,Mais loffre dinstagram et facebook est mieux que youtube,-1,insta
amel_.hm,10/02/20 19:52:10,5,Sa veut dire 1100da =insta +FB + YouTube illimité ou quoi,0,insta
djezzy.dz,10/02/20 19:53:51,2,Lazem tactivy loffre de base te3 5go à 500da ou tzid 600da Bach ikoun 3endek Youtube illimité,0,insta
djezzy.dz,10/02/20 19:54:26,2,يعطيك الصحه علي الاقتراح  مرتاح,0,insta
djezzy.dz,10/02/20 19:54:41,2,1100  مرتاح,1,insta
djezzy.dz,10/02/20 19:57:20,0,Bessah machi lazem tzid koulech  يضحك بزاف  li imout 3la fb insta yactivihom li idel ichouf les vidéos yactivy youtube illimité Koul wahed wesh isa3dou  يضحك,0,insta
negetharrar,10/02/20 19:59:47,0,تصفيق  تصفيق,1,insta
brahim_smacher,10/02/20 19:59:56,0,Ha fahmouna ba arab mafhamt Walou,-1,insta
kareem.kc,10/02/20 20:00:37,1,boom  قوة  نار,0,insta
nvgxb,10/02/20 20:02:59,0,yeahh menn,1,insta
abdoamir092,10/02/20 20:11:43,0,زيد مقال زيد  يضحك بزاف  يضحك بزاف,0,insta
djezzy.dz,10/02/20 20:13:08,1,pas de panique elle est toujours dispo  يضحك  vous pouvez choisir loffre qui vous convient entre Youtube et Fb+Insta,0,insta
djezzy.dz,10/02/20 20:13:56,4,Hadi Hiya الديمقراطيه  عيون,0,insta
s_a_m_i_09,10/02/20 20:15:47,3,الجماعه شراو لابيس اعطونا رايكم خفيفك كونيكسيو   السماح,0,insta
_its_maayyyyya_,10/02/20 20:17:54,0,illimité seulment pendant 30 jours ctt,0,insta
khalil_yacef99,10/02/20 20:22:13,0,hdik khllwaha cadeaux le 14 février offres spéciale hallbin  مرتاح,0,insta
yacin_abboub,10/02/20 20:22:13,1,on peu stream avec ca au moin,0,insta
djezzy.dz,10/02/20 20:24:33,1,makach mouchkil  يضحك  kayen puce jdida iZZY techriha b 300da Oumba3d ki tactivy 500da 3endek 5go internet 500da crédit tous les réseaux fi 30 jours Wila habit ikoun 3endek Instagram w fb illimité f 30 jours en plus men hadouk les 5go zid 600da Sinon Ila habit YouTube illimité zid 600da Khiyer 3la hsab les préférences dialek  مرتاح,0,insta
djezzy.dz,10/02/20 20:26:49,12,Lala nti khiyri wesh isa3dek Ila habiti 5go + fb insta illimité cest 1100da Ila habiti 5go + youtube illimité cest 1100da Wila habitihom gee3 : 5go + fb insta youtube illimité cest 1700da  مرتاح,0,insta
raniaaa__km,10/02/20 20:34:56,6,5G brk  يشرح  يشرح  بخير zidoLnA,-1,insta
raniaaa__km,10/02/20 20:35:42,5,1100 ghalya  يشرح  نتمنى  فوق الراس,1,insta
mohamed.senouci,10/02/20 20:36:53,0,Oh cool  مئة بالمئة  نار,1,insta
mayaavinn,10/02/20 20:37:22,0,ga3 hado w mknch des appels illimités vers djezzy,0,insta
amel_.hm,10/02/20 20:42:38,0,oh merci bcp يعشق,1,insta
h__a_d__i_l,10/02/20 20:44:37,3,حبيت يوتيوب شحال نفليكسي,0,insta
youcefdaraoui,10/02/20 20:47:29,1,m3a cnx ta3kom khfifa bzf dir 1 radoha 1 million  يضحك بزاف,-1,insta
